job_id,n,k,t,lambda,dd_mode,batch_idx,n_batches,status,qpu_seconds,executions,created,running,finished,queue_seconds,run_seconds,total_seconds
d82rmbg0bvlc73d2mhe0,5,2,1,0.5,off,3,4,DONE,6.0,,2026-05-14 12:08:15.189020+00:00,2026-05-14 12:08:16.236132+00:00,2026-05-14 12:10:38.610471+00:00,1.047112,142.374339,143.421451
d82rnjugbeec73am6otg,5,2,1,0.6,off,0,4,DONE,6.0,,2026-05-14 12:10:55.543968+00:00,2026-05-14 12:11:01.081615+00:00,2026-05-14 12:13:25.513549+00:00,5.537647,144.431934,149.969581
d82rot6gbeec73am6qg0,5,2,1,0.6,off,1,4,DONE,6.0,,2026-05-14 12:13:41.155634+00:00,2026-05-14 12:13:47.049214+00:00,2026-05-14 12:16:07.230752+00:00,5.89358,140.181538,146.07511799999997
d82rq5ftjchs73bof290,5,2,1,0.6,off,2,4,DONE,10.0,,2026-05-14 12:16:22.562343+00:00,2026-05-14 12:39:42.022789+00:00,2026-05-14 12:42:08.323959+00:00,1399.460446,146.30117,1545.761616
d82s6bugbeec73am7d3g,5,2,1,0.6,off,3,4,DONE,7.0,,2026-05-14 12:42:23.530802+00:00,2026-05-14 12:42:30.447618+00:00,2026-05-14 12:44:53.274267+00:00,6.916816,142.826649,149.74346500000001
d82s7lnoha1c73blvung,5,2,1,0.7,off,0,4,DONE,7.0,,2026-05-14 12:45:10.424546+00:00,2026-05-14 12:45:15.102842+00:00,2026-05-14 12:47:35.874797+00:00,4.678296,140.771955,145.45025099999998
d82s8tegbeec73am7go0,5,2,1,0.7,off,1,4,DONE,9.0,,2026-05-14 12:47:50.516053+00:00,2026-05-14 13:16:46.987915+00:00,2026-05-14 13:45:33.924425+00:00,1736.471862,1726.93651,3463.408372
d82t43foha1c73bm126g,5,2,1,0.7,off,2,4,DONE,9.0,,2026-05-14 13:45:49.569584+00:00,2026-05-14 13:46:12.962348+00:00,2026-05-14 13:50:42.382521+00:00,23.392764,269.420173,292.812937
d82t6g80bvlc73d2of40,5,2,1,0.7,off,3,4,DONE,10.0,,2026-05-14 13:50:58.573868+00:00,2026-05-14 14:12:48.881097+00:00,2026-05-14 14:39:18.582983+00:00,1310.307229,1589.701886,2900.009115
d82ttafoha1c73bm1tag,5,2,1,0.8,off,0,4,DONE,9.0,,2026-05-14 14:39:37.596437+00:00,2026-05-14 14:39:46.374825+00:00,2026-05-14 14:42:12.900491+00:00,8.778388,146.525666,155.304054
d82tul80bvlc73d2p95g,5,2,1,0.8,off,1,4,DONE,13.0,,2026-05-14 14:42:29.612739+00:00,2026-05-14 14:42:54.561146+00:00,2026-05-14 15:02:13.989390+00:00,24.948407,1159.428244,1184.376651
d82utt6gbeec73amak30,5,2,1,0.9,off,0,4,DONE,7.0,,2026-05-14 15:49:09.094401+00:00,2026-05-14 15:57:35.208535+00:00,2026-05-14 16:01:15.758451+00:00,506.114134,220.549916,726.66405
d82v3nmgbeec73amat60,5,2,1,0.9,off,1,4,DONE,9.0,,2026-05-14 16:01:34.915107+00:00,2026-05-14 16:02:00.130578+00:00,2026-05-14 16:07:09.806274+00:00,25.215471,309.675696,334.891167
