lambda,fidelity
0.0,0.9690666666666666
0.1,0.9463333333333334
0.2,0.8987333333333333
0.3,0.8450666666666665
0.4,0.7764666666666667
0.5,0.7022666666666667
0.6,0.6033999999999999
0.7,0.5359333333333334
0.8,0.43933333333333335
0.9,0.33566666666666667
