n,k,t,lambda,fidelity_experiment,fidelity_theory,delta
3,2,1,0.0,0.9784666666666666,1.0,-0.021533333333333404
3,2,1,0.1,0.943,0.966625,-0.023625000000000007
3,2,1,0.2,0.8837333333333334,0.9179999999999999,-0.034266666666666556
3,2,1,0.3,0.8244666666666667,0.8563750000000001,-0.03190833333333343
3,2,1,0.4,0.7383333333333334,0.784,-0.04566666666666663
3,2,1,0.5,0.6782666666666666,0.703125,-0.024858333333333427
3,2,1,0.6,0.5847333333333333,0.6159999999999999,-0.031266666666666554
3,2,1,0.7,0.5113333333333334,0.524875,-0.013541666666666563
3,2,1,0.8,0.4285333333333333,0.43200000000000005,-0.003466666666666729
3,2,1,0.9,0.3402666666666666,0.33962500000000007,0.0006416666666665405
5,2,1,0.0,0.9690666666666666,1.0,-0.030933333333333368
5,2,1,0.1,0.9463333333333334,0.9805121406249999,-0.03417880729166656
5,2,1,0.2,0.8987333333333333,0.9489059999999999,-0.05017266666666664
5,2,1,0.3,0.8450666666666665,0.9021586093750001,-0.05709194270833362
5,2,1,0.4,0.7764666666666667,0.8392720000000001,-0.06280533333333338
5,2,1,0.5,0.7022666666666667,0.760986328125,-0.058719661458333294
5,2,1,0.6,0.6033999999999999,0.669493,-0.06609300000000007
5,2,1,0.7,0.5359333333333334,0.568147796875,-0.03221446354166668
5,2,1,0.8,0.4393333333333333,0.46118400000000004,-0.02185066666666674
5,2,1,0.9,0.3356666666666666,0.3534255156249999,-0.017758848958333295
7,2,1,0.0,0.9706666666666668,1.0,-0.02933333333333321
7,2,1,0.1,0.9510666666666668,0.9863932880957031,-0.03532662142903631
7,2,1,0.2,0.8944666666666666,0.9642054211904764,-0.06973875452380973
7,2,1,0.3,0.8364000000000001,0.9287174830761719,-0.09231748307617171
7,2,1,0.4,0.7585333333333334,0.8758693600000002,-0.11733602666666676
7,2,1,0.5,0.6997333333333334,0.8034735180082776,-0.10374018467494417
7,2,1,0.6,0.6186666666666666,0.7118944525000002,-0.09322778583333358
7,2,1,0.7,0.5265333333333333,0.6042477888964845,-0.07771445556315115
7,2,1,0.8,0.4424,0.48617301333333335,-0.04377301333333333
7,2,1,0.9,0.3442051282051281,0.3652338122809709,-0.021028684075842796
