backend,n,k,t,n_seeds,opt_level,no_reset,best_seed,best_2q_depth,best_2q_gates,avg_2q_depth,avg_2q_gates,all_2q_gates,pre_circuit_png,best_circuit_png
ibm_boston,23,2,1,100,3,True,14,22,235,30.53,237.47,"[236, 233, 241, 245, 233, 235, 234, 236, 236, 236, 240, 238, 236, 239, 235, 230, 230, 233, 234, 238, 230, 239, 236, 238, 230, 238, 229, 233, 238, 232, 236, 241, 241, 234, 242, 234, 238, 247, 229, 236, 234, 237, 238, 247, 238, 235, 231, 241, 238, 233, 250, 238, 238, 235, 238, 247, 238, 239, 238, 239, 239, 239, 241, 238, 235, 240, 251, 247, 236, 233, 238, 238, 238, 246, 240, 235, 238, 238, 242, 239, 238, 244, 243, 230, 232, 233, 233, 236, 236, 238, 238, 245, 233, 238, 238, 235, 230, 239, 244, 242]",scaling_results/T1/circuit_N23_pre.png,scaling_results/T1/circuit_N23_best_ibm_boston.png
ibm_miami,3,2,1,100,3,True,9,16,18,17.9,19.9,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 18, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 18, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 18, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 18, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 18, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",scaling_results/T1/circuit_N3_pre.png,scaling_results/T1/circuit_N3_best_ibm_miami.png
ibm_miami,5,2,1,100,3,True,0,18,40,18.05,39.98,"[40, 40, 40, 40, 38, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]",scaling_results/T1/circuit_N5_pre.png,scaling_results/T1/circuit_N5_best_ibm_miami.png
ibm_miami,7,2,1,100,3,True,1,18,60,19.3,60.51,"[63, 60, 60, 58, 63, 60, 60, 60, 60, 63, 58, 60, 60, 66, 58, 60, 66, 63, 58, 60, 60, 63, 63, 61, 63, 60, 60, 58, 60, 60, 58, 60, 60, 60, 60, 60, 60, 60, 63, 60, 60, 60, 60, 60, 60, 63, 60, 60, 60, 60, 60, 60, 60, 60, 63, 60, 60, 60, 58, 60, 60, 60, 60, 60, 58, 60, 60, 63, 60, 63, 60, 60, 61, 60, 60, 58, 63, 60, 60, 63, 60, 61, 61, 60, 60, 63, 60, 58, 60, 63, 60, 60, 60, 60, 63, 60, 58, 63, 60, 63]",scaling_results/T1/circuit_N7_pre.png,scaling_results/T1/circuit_N7_best_ibm_miami.png
ibm_miami,9,2,1,100,3,True,0,18,80,19.75,80.41,"[80, 78, 80, 83, 80, 80, 80, 78, 80, 80, 80, 80, 83, 83, 83, 83, 80, 80, 80, 80, 83, 80, 78, 80, 80, 80, 80, 80, 80, 83, 80, 77, 84, 80, 81, 80, 78, 80, 83, 80, 81, 80, 80, 80, 80, 80, 83, 80, 78, 83, 80, 80, 80, 80, 80, 83, 78, 80, 81, 80, 80, 83, 80, 78, 80, 80, 78, 80, 80, 83, 80, 80, 78, 83, 78, 86, 83, 84, 78, 86, 80, 80, 80, 78, 81, 80, 78, 80, 80, 80, 80, 81, 80, 80, 80, 78, 78, 80, 86, 78]",scaling_results/T1/circuit_N9_pre.png,scaling_results/T1/circuit_N9_best_ibm_miami.png
ibm_miami,11,2,1,100,3,True,3,18,98,24.09,102.3,"[103, 103, 103, 98, 101, 104, 100, 100, 103, 101, 101, 103, 100, 101, 104, 101, 103, 106, 101, 101, 100, 106, 102, 106, 106, 106, 100, 104, 98, 101, 100, 100, 106, 106, 103, 100, 100, 102, 101, 103, 100, 106, 100, 103, 104, 98, 100, 100, 100, 101, 106, 104, 101, 107, 103, 103, 106, 106, 103, 106, 104, 98, 102, 101, 101, 100, 106, 104, 100, 106, 100, 101, 103, 106, 100, 103, 100, 104, 106, 104, 101, 99, 100, 104, 101, 103, 101, 103, 98, 103, 101, 103, 98, 100, 104, 101, 104, 103, 104, 106]",scaling_results/T1/circuit_N11_pre.png,scaling_results/T1/circuit_N11_best_ibm_miami.png
ibm_miami,13,2,1,100,3,True,12,18,120,24.0,123.7,"[129, 123, 121, 121, 123, 123, 124, 121, 123, 120, 123, 126, 120, 123, 124, 135, 123, 123, 118, 129, 135, 129, 129, 126, 123, 118, 126, 123, 124, 126, 126, 130, 123, 123, 127, 126, 125, 126, 130, 129, 126, 124, 118, 129, 123, 118, 121, 124, 119, 123, 121, 126, 121, 118, 126, 120, 126, 129, 123, 120, 120, 126, 123, 118, 123, 120, 124, 121, 126, 124, 127, 130, 126, 120, 125, 120, 121, 130, 126, 129, 120, 123, 118, 121, 120, 126, 118, 126, 120, 123, 126, 118, 123, 120, 129, 121, 120, 127, 118, 123]",scaling_results/T1/circuit_N13_pre.png,scaling_results/T1/circuit_N13_best_ibm_miami.png
ibm_miami,15,2,1,100,3,True,13,18,140,28.41,144.79,"[146, 152, 142, 146, 143, 146, 141, 144, 140, 146, 144, 153, 146, 140, 136, 143, 145, 140, 147, 146, 146, 149, 143, 148, 145, 142, 144, 146, 149, 144, 144, 147, 142, 149, 140, 140, 143, 139, 143, 149, 146, 150, 139, 138, 141, 150, 147, 142, 143, 143, 148, 150, 138, 149, 146, 149, 143, 149, 140, 141, 155, 152, 146, 141, 144, 146, 141, 142, 143, 149, 139, 149, 139, 149, 143, 141, 141, 142, 141, 144, 143, 145, 146, 149, 149, 147, 140, 149, 144, 135, 152, 153, 152, 150, 143, 143, 144, 149, 145, 144]",scaling_results/T1/circuit_N15_pre.png,scaling_results/T1/circuit_N15_best_ibm_miami.png
ibm_miami,17,2,1,100,3,True,0,18,160,26.85,166.29,"[160, 170, 168, 167, 167, 181, 172, 163, 164, 161, 161, 164, 176, 170, 162, 167, 173, 168, 167, 171, 169, 173, 161, 166, 163, 162, 158, 161, 172, 165, 162, 172, 164, 175, 158, 172, 156, 160, 160, 166, 164, 159, 164, 166, 160, 169, 169, 163, 161, 167, 163, 161, 162, 167, 163, 167, 161, 169, 161, 179, 166, 167, 166, 166, 169, 166, 161, 172, 165, 164, 167, 163, 182, 163, 173, 163, 165, 175, 170, 166, 160, 171, 167, 169, 169, 163, 160, 166, 179, 164, 161, 176, 166, 158, 169, 167, 175, 165, 166, 167]",scaling_results/T1/circuit_N17_pre.png,scaling_results/T1/circuit_N17_best_ibm_miami.png
ibm_miami,19,2,1,100,3,True,51,18,180,28.85,187.49,"[179, 189, 194, 182, 190, 186, 195, 185, 187, 180, 181, 191, 191, 186, 181, 186, 187, 186, 194, 192, 183, 189, 190, 187, 184, 194, 198, 193, 184, 183, 183, 184, 189, 201, 188, 189, 184, 192, 180, 180, 186, 180, 191, 181, 187, 187, 195, 183, 187, 183, 186, 180, 188, 204, 186, 192, 189, 187, 184, 183, 191, 187, 189, 190, 186, 186, 189, 184, 180, 194, 186, 182, 187, 189, 187, 189, 192, 181, 187, 184, 187, 192, 192, 192, 184, 195, 189, 189, 180, 205, 190, 183, 191, 187, 188, 186, 180, 187, 187, 189]",scaling_results/T1/circuit_N19_pre.png,scaling_results/T1/circuit_N19_best_ibm_miami.png
ibm_miami,21,2,1,100,3,True,81,19,203,30.82,210.62,"[207, 209, 202, 212, 211, 217, 214, 211, 201, 210, 205, 207, 216, 212, 208, 213, 211, 210, 207, 210, 211, 210, 208, 211, 215, 209, 200, 206, 215, 204, 207, 218, 224, 204, 212, 212, 215, 210, 222, 211, 204, 211, 216, 207, 212, 207, 207, 214, 200, 208, 213, 201, 225, 207, 204, 208, 216, 218, 216, 201, 218, 214, 210, 207, 203, 213, 209, 210, 213, 226, 211, 208, 204, 211, 214, 214, 226, 204, 206, 213, 210, 203, 210, 207, 201, 215, 213, 210, 210, 207, 207, 204, 211, 217, 218, 202, 206, 219, 216, 230]",scaling_results/T1/circuit_N21_pre.png,scaling_results/T1/circuit_N21_best_ibm_miami.png
ibm_miami,23,2,1,100,3,True,31,19,221,30.7,232.25,"[250, 232, 247, 232, 238, 223, 224, 233, 247, 232, 227, 236, 229, 238, 224, 240, 234, 226, 248, 233, 242, 224, 231, 232, 232, 234, 230, 219, 228, 233, 225, 221, 229, 232, 242, 243, 221, 229, 231, 230, 236, 237, 242, 226, 223, 234, 230, 224, 224, 230, 235, 239, 237, 233, 233, 225, 231, 242, 234, 226, 227, 232, 234, 229, 238, 227, 234, 232, 233, 230, 231, 238, 234, 228, 230, 225, 235, 231, 235, 248, 230, 234, 227, 227, 223, 239, 224, 230, 226, 227, 245, 232, 226, 233, 242, 236, 235, 228, 241, 227]",scaling_results/T1/circuit_N23_pre.png,scaling_results/T1/circuit_N23_best_ibm_miami.png
