lam,acc_emp,acc_th,tvd_base,tvd_base_th,tvd_qpa,tvd_qpa_th,valid_base,valid_base_th,valid_qpa,valid_qpa_th,e_sqd_base,ndet_base,e_sqd_qpa,ndet_qpa,starved_base_mean,starved_base_std,starved_base_miss,starved_qpa_mean,starved_qpa_std,starved_qpa_miss
0.0,1.0,1.0000000000000004,0.0014941824736817329,5.55111512317627e-17,0.0014941824736817329,1.2490009027144083e-16,1.0,1.0000000000000004,1.0,1.0000000000000004,-1.0065628735921965,2,-1.0065628735921965,2,0.017306315846359534,0.034885391085494585,0.0,0.017306315846359534,0.034885391085494585,0.0
0.1,0.9225,0.9109375000000004,0.08499999999662877,0.0874999999996629,0.037940379400422844,0.04832761578025988,0.92,0.9250000000000005,0.97289972899729,0.9585763293310465,-1.0065628735921965,4,-1.0065628735921965,4,0.018401652292331684,0.03569116454620073,0.0,0.01292497006247093,0.03107282431138383,0.0
0.2,0.8415,0.8312500000000003,0.1749999999966288,0.1749999999993258,0.10754604871914811,0.10657894736801059,0.8399999999999999,0.8500000000000002,0.9114676173499703,0.9086466165413535,-1.0065628735921965,4,-1.0065628735921965,4,0.016430046689581812,0.03420186956334447,0.0,0.015553777532804092,0.03348148080354142,0.0
0.3,0.7615,0.7609375000000003,0.33499999999662883,0.26249999999898865,0.1707156927083819,0.1757186858309452,0.71,0.7750000000000002,0.8562048588312541,0.8493839835728955,-1.0065628735921965,4,-1.0065628735921965,4,0.015772844821998522,0.03366516165766959,0.0,0.015334710243609662,0.03329534536845066,0.0
0.4,0.7245,0.7000000000000002,0.3399999999966288,0.34999999999865156,0.25603864733962395,0.2562499999990128,0.6849999999999999,0.7000000000000002,0.7791580400276052,0.780357142857143,-1.0065628735921965,4,-1.0065628735921965,4,0.015553777532804092,0.03348148080354142,0.0,0.0148965756652208,0.032915543640569436,0.0
0.5,0.6405,0.6484375000000001,0.43999999999662875,0.4374999999983144,0.3263075722058404,0.3478915662637199,0.61,0.6250000000000002,0.7447306791569087,0.7018072289156627,-1.0065628735921965,4,-1.0065628735921965,4,0.01292497006247093,0.03107282431138383,0.0,0.008324556989387898,0.025693520667560643,0.0
0.6,0.6105,0.6062500000000001,0.5499999999966287,0.5249999999979773,0.44307944307607183,0.44922680412198057,0.5349999999999999,0.5500000000000002,0.6363636363636364,0.6149484536082476,-1.0065628735921965,4,-1.0065628735921965,4,0.012957363471148804,0.031104992013648965,0.0025,0.006133884097443598,0.022357746095326314,0.0
0.7,0.574,0.5734375,0.5799999999966288,0.6124999999976402,0.5130662020872211,0.5574250681177434,0.4650000000000001,0.47500000000000014,0.5644599303135889,0.522207084468665,-1.0065628735921965,4,-1.0065628735921965,4,0.01161056632730435,0.02970846455293798,0.0,0.01226776819488764,0.030405403346846164,0.0
0.8,0.5555,0.55,0.6649999999966288,0.699999999997303,0.6129612961262417,0.6681818181792438,0.435,0.4000000000000001,0.48694869486948694,0.4272727272727273,-1.0065628735921965,4,-1.0065628735921965,4,0.013882800160351063,0.0699989085598391,0.0,0.007639853852186205,0.037233102725679305,0.0
