lambda,fidelity
0.0,0.9408125
0.041666666666666664,0.9238125
0.08333333333333333,0.905125
0.125,0.88575
0.16666666666666666,0.87025
0.20833333333333331,0.8540625
0.25,0.821
0.29166666666666663,0.807
0.3333333333333333,0.779875
0.375,0.7543125
0.41666666666666663,0.72125
0.4583333333333333,0.7026875
0.5,0.6751875
0.5416666666666666,0.632625
0.5833333333333333,0.6069375
0.625,0.571375
0.6666666666666666,0.5378125
0.7083333333333333,0.4998125
0.75,0.4575625
0.7916666666666666,0.41775
0.8333333333333333,0.3886875
0.875,0.358
0.9166666666666666,0.3300625
0.9583333333333333,0.29275
1.0,0.266375
